code,name,old_code,old_name
BRA,Trung tâm Bà Rịa,BRA - LDN,Trung tâm Bà Rịa - Long Điền
CDO,Trung tâm Côn Đảo,CDO,Trung tâm Côn Đảo
CHP,Trung tâm Chánh Hiệp,TDM,Thủ Dầu Một
DTG,Trung tâm Dầu Tiếng,DT,Dầu Tiếng
HTM,Trung tâm Hồ Tràm,DDO - XMC,Trung tâm Xuyên Mộc - Đất Đỏ
NGO,Trung tâm Ngãi Giao,CDC,Trung tâm Châu Đức
PGO,Trung tâm Phú Giáo,PG,Phú Giáo
PMY,Trung tâm Phú Mỹ,PMY - TTH,Trung tâm Tân Thành
TDH,Trung tâm Tân Đông Hiệp,DA,Dĩ An
TGO,Trung tâm Thuận Giao,TA,Thuận An
THA,Trung tâm Thới Hòa,BC-BB,Bến Cát-Bàu Bàng
TTG,Trung tâm Tam Thắng,TP VTU,Trung tâm Vũng Tàu
TUN,Trung tâm Tân Uyên,TU-BTU,Tân Uyên-Bắc Tân Uyên
