report_date,center,nt_ft_dinh_bien,nt_ft_hien_tai,dm_ft_dinh_bien,dm_ft_hien_tai,dm_oft_dinh_bien,dm_oft_hien_tai,oft_gap,ft_gap,applications_received,posted_channels,school_contacts,banners_posted,banner_location,note
2026-08-07,BRA,,,,,,,-1,4,0,0,0,0,Chưa,
2026-08-07,CDO,,,,,,,1,0,0,0,0,0,Chưa,
2026-08-07,CHP,,,,,,,5,3,0,0,0,0,Chưa,
2026-08-07,DTG,,,,,,,2,1,1,0,0,1,Cửa hàng đại diện Viettel,Gửi 1 hs FT về TGO đang trao đổi
2026-08-07,PMY,,,,,,,2,0,0,0,0,0,Chưa,
2026-08-07,TDH,,,,,,,5,3,0,0,0,0,Chưa,
2026-08-07,TGO,,,,,,,8,7,1,0,0,0,Chưa,01 FT Dây máy và 01 OFT đã gặp gỡ ngày 6/8
2026-08-07,THA,,,,,,,4,1,0,0,0,0,Chưa,
2026-08-07,TTG,,,,,,,6,-5,0,0,0,0,Chưa,
2026-08-07,TUN,,,,,,,8,0,0,0,0,2,"Chợ, KCN",
2026-09-09,BRA,5,4,14,11,6,7,-1,4,0,0,0,0,,
2026-09-09,CDO,1,1,1,1,1,1,0,0,0,0,0,0,,
2026-09-09,CHP,9,10,25,21,10,4,6,3,0,0,0,0,,
2026-09-09,DTG,3,3,7,6,3,1,2,1,0,0,0,0,,
2026-09-09,HTM,5,6,10,13,5,3,2,-4,0,0,0,0,,
2026-09-09,NGO,3,3,8,9,3,2,1,-1,0,0,0,0,,
2026-09-09,PGO,3,2,6,6,3,2,1,1,0,0,0,0,,
2026-09-09,PMY,5,4,8,8,3,2,1,1,0,0,0,0,,
2026-09-09,TDH,7,7,28,25,11,6,5,3,0,0,0,0,,
2026-09-09,TGO,11,10,38,37,14,11,3,2,0,0,0,0,,
2026-09-09,THA,14,12,20,19,8,3,5,3,0,0,0,0,,
2026-09-09,TTG,7,9,18,20,8,4,4,-4,0,0,0,0,,
2026-09-09,TUN,13,11,23,27,11,4,7,-2,0,0,0,0,,
