board,period,label,unit_name,value
FUEL,2025-01,Ksub*min,BDG,23.07
FUEL,2025-01,Ksub*min,VCC HCM,19.07
FUEL,2025-01,Ksub*min,VTU,8.88
FUEL,2025-02,Ksub*min,BDG,38.71
FUEL,2025-02,Ksub*min,VCC HCM,30.78
FUEL,2025-02,Ksub*min,VTU,10.64
FUEL,2025-03,Ksub*min,BDG,29.76
FUEL,2025-03,Ksub*min,VCC HCM,25.7
FUEL,2025-03,Ksub*min,VTU,15.37
FUEL,2025-04,Ksub*min,BDG,43.68
FUEL,2025-04,Ksub*min,VCC HCM,43.89
FUEL,2025-04,Ksub*min,VTU,44.42
FUEL,2025-05,Ksub*min,BDG,65.32
FUEL,2025-05,Ksub*min,VCC HCM,55.54
FUEL,2025-05,Ksub*min,VTU,30.75
FUEL,2025-06,Ksub*min,BDG,46.78
FUEL,2025-06,Ksub*min,VCC HCM,45.43
FUEL,2025-06,Ksub*min,VTU,42.01
FUEL,2025-07,Ksub*min,BDG,29.84
FUEL,2025-07,Ksub*min,VCC HCM,29.57
FUEL,2025-07,Ksub*min,VTU,28.87
FUEL,2025-08,Ksub*min,BDG,45.15
FUEL,2025-08,Ksub*min,VCC HCM,47.18
FUEL,2025-08,Ksub*min,VTU,52.33
FUEL,2025-09,Ksub*min,BDG,63.94
FUEL,2025-09,Ksub*min,VCC HCM,51.84
FUEL,2025-09,Ksub*min,VTU,21.17
FUEL,2025-10,Ksub*min,BDG,55.74
FUEL,2025-10,Ksub*min,VCC HCM,52.58
FUEL,2025-10,Ksub*min,VTU,44.55
FUEL,2025-11,Ksub*min,BDG,33.26
FUEL,2025-11,Ksub*min,VCC HCM,29.07
FUEL,2025-11,Ksub*min,VTU,18.47
FUEL,2025-12,Ksub*min,BDG,47.65
FUEL,2025-12,Ksub*min,VCC HCM,45.48
FUEL,2025-12,Ksub*min,VTU,39.97
FUEL,2026-01,Ksub*min,BDG,49.23
FUEL,2026-01,Ksub*min,VCC HCM,40.36
FUEL,2026-01,Ksub*min,VTU,18.13
FUEL,2026-02,Ksub*min,BDG,25.02
FUEL,2026-02,Ksub*min,VCC HCM,23.05
FUEL,2026-02,Ksub*min,VTU,18.12
FUEL,2026-03,Ksub*min,BDG,52.36
FUEL,2026-03,Ksub*min,VCC HCM,40.92
FUEL,2026-03,Ksub*min,VTU,12.25
FUEL,2026-04,Ksub*min,BDG,26.33
FUEL,2026-04,Ksub*min,VCC HCM,22.8
FUEL,2026-04,Ksub*min,VTU,13.94
FUEL,2026-05,Ksub*min,BDG,26.33
FUEL,2026-05,Ksub*min,VCC HCM,26.68
FUEL,2026-05,Ksub*min,VTU,13.94
FUEL,2026-06,Ksub*min,BDG,38.45
FUEL,2026-06,Ksub*min,VCC HCM,29.96
FUEL,2026-06,Ksub*min,VTU,8.67
FUEL,2026-07,Ksub*min,BDG,27.42
FUEL,2026-07,Ksub*min,VCC HCM,23.27
FUEL,2026-07,Ksub*min,VTU,12.86
FUEL,2026-08,Ksub*min,BDG,15.3
FUEL,2026-08,Ksub*min,VTU,11.1
FUEL_TARGET,2025-01,Ksub*min,BDG,50.51
FUEL_TARGET,2025-01,Ksub*min,VCC HCM,45.66
FUEL_TARGET,2025-01,Ksub*min,VTU,33.3
FUEL_TARGET,2025-02,Ksub*min,BDG,41.01
FUEL_TARGET,2025-02,Ksub*min,VCC HCM,38.18
FUEL_TARGET,2025-02,Ksub*min,VTU,30.98
FUEL_TARGET,2025-03,Ksub*min,BDG,48.53
FUEL_TARGET,2025-03,Ksub*min,VCC HCM,44.61
FUEL_TARGET,2025-03,Ksub*min,VTU,34.65
FUEL_TARGET,2025-04,Ksub*min,BDG,75.35
