category,item,period,center,plan_qty,done_qty,note
ke_hoach_5g,5g_srt5g,2026-09,BRA,8.0,0.0,
ke_hoach_5g,5g_srt5g,2026-09,CDO,3.0,0.0,
ke_hoach_5g,5g_srt5g,2026-09,CHP,4.0,0.0,
ke_hoach_5g,5g_srt5g,2026-09,DTG,14.0,3.0,
ke_hoach_5g,5g_srt5g,2026-09,HTM,12.0,2.0,
ke_hoach_5g,5g_srt5g,2026-09,NGO,6.0,5.0,
ke_hoach_5g,5g_srt5g,2026-09,PGO,12.0,6.0,
ke_hoach_5g,5g_srt5g,2026-09,PMY,11.0,3.0,
ke_hoach_5g,5g_srt5g,2026-09,TGO,3.0,0.0,
ke_hoach_5g,5g_srt5g,2026-09,THA,21.0,4.0,
ke_hoach_5g,5g_srt5g,2026-09,THA,13.0,2.0,
ke_hoach_5g,5g_srt5g,2026-09,THA,8.0,2.0,
ke_hoach_5g,5g_srt5g,2026-09,TTG,15.0,2.0,
ke_hoach_5g,5g_srt5g,2026-09,TUN,7.0,2.0,
